region,state,date,case_day,cases,death_day,deaths,day,%var_case_day,%var_death_day,avg7_cases,avg7_deaths,perc_death,avg7_perc_death
Centro-Oeste,GO,2020-04-03,15,88,1,2,22,650.0,0.0,5.0,0.0,2.27,1.68
Centro-Oeste,GO,2020-04-04,15,103,0,2,23,0.0,-100.0,6.0,0.0,1.94,1.7
Centro-Oeste,GO,2020-04-05,12,115,1,3,24,-20.0,0.0,8.0,0.0,2.61,1.83
Centro-Oeste,GO,2020-04-06,4,119,2,5,25,-66.67,100.0,8.0,0.0,4.2,2.19
Centro-Oeste,GO,2020-04-07,14,133,0,5,26,250.0,-100.0,9.0,0.0,3.76,2.51
Centro-Oeste,GO,2020-04-08,25,158,2,7,27,78.57,0.0,12.0,0.0,4.43,2.94
Centro-Oeste,GO,2020-04-09,21,179,0,7,28,-16.0,-100.0,15.0,0.0,3.91,3.3
Centro-Oeste,GO,2020-04-10,12,191,1,8,29,-42.86,0.0,14.0,0.0,4.19,3.58
Centro-Oeste,GO,2020-04-11,18,209,2,10,30,50.0,100.0,15.0,1.0,4.78,3.98
Centro-Oeste,GO,2020-04-12,20,229,4,14,31,11.11,100.0,16.0,1.0,6.11,4.48
Centro-Oeste,GO,2020-04-13,4,233,1,15,32,-80.0,-75.0,16.0,1.0,6.44,4.8
Centro-Oeste,GO,2020-04-14,51,284,0,15,33,1175.0,-100.0,21.0,1.0,5.28,5.02
