city,cases,deaths,codigo_ibge,latitude,longitude,date,day,case_day,death_day,%var_case_day,%var_death_day,avg7_cases,avg7_deaths,perc_death,avg7_perc_death
mairipora,2.0,0.0,3528502.0,-23.3171,-46.5897,2020-03-29,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
maua,2.0,0.0,3529401.0,-23.6677,-46.4613,2020-03-29,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mogi das cruzes,9.0,0.0,3530607.0,-23.5208,-46.1854,2020-03-29,4,0,0,-100.0,0.0,0.0,0.0,0.0,0.0
osasco,12.0,0.0,3534401.0,-23.5324,-46.7916,2020-03-29,4,2,0,-66.67,0.0,0.0,0.0,0.0,0.0
paulinia,1.0,0.0,3536505.0,-22.7542,-47.1488,2020-03-29,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
penapolis,1.0,0.0,3537305.0,-21.4148,-50.0769,2020-03-29,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
piracicaba,1.0,0.0,3538709.0,-22.7338,-47.6476,2020-03-29,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
poa,1.0,0.0,3539806.0,-23.5333,-46.3473,2020-03-29,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
porto feliz,1.0,0.0,3540606.0,-23.2093,-47.5251,2020-03-29,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
ribeirao pires,1.0,0.0,3543303.0,-23.7067,-46.4058,2020-03-29,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ribeirao preto,3.0,1.0,3543402.0,-21.1699,-47.8099,2020-03-29,4,0,0,0.0,0.0,0.0,0.0,33.33,0.0
rio claro,1.0,0.0,3543907.0,-22.3984,-47.5546,2020-03-29,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
santana de parnaiba,7.0,0.0,3547304.0,-23.4439,-46.9178,2020-03-29,4,0,0,-100.0,0.0,0.0,0.0,0.0,0.0
